Funtion,Runtime [cycles],Total FLOPS[Gflop],Total Memory[GB]
compute_integral_img,4058780,2166666.667,12666666.67
compute_integral_img_faster_alg,2785559,2000000,11600000
compute_padded_integral_img,4521542,2166666.667,14666666.67
compute_padded_integral_img_new,4416354,2000000,13600000
compute_padded_integral_img_faster_alg,11216815,2000000,12800000
compute_response_layers,135342608,47333333.33,1368166667
compute_response_layer_switch_Dyy,129156728,47200000,1086800000
compute_response_layer_precompute,136617426,44800000,1402200000
compute_response_layer_blocking,167148402,44800000,1368200000
compute_response_layers_at_once,153602671,44800000,1874800000
compute_response_layer_unconditional,53577639,47200000,354000000
compute_response_layer_unconditional_strided,50741903,41800000,325400000
compute_response_layer_switch_Dyy_unconditional,45730011,47200000,410000000
compute_response_layer_switch_Dyy_unconditional_opt,45818320,47200000,410000000
compute_response_layer_Dyy_laplacian_locality_unconditional,55532213,47200000,356200000
compute_response_layer_Dyy_laplacian_locality_unconditional_opt,47028464,47200000,375600000
compute_response_layer_Dyy_laplacian_locality_unconditional_opt_flops,45345216,47200000,410000000
get_interest_points,27068836,166666.6667,32666666.67
get_interest_points_layers,27841201,200000,129400000
get_interest_points_block,27808151,200000,135600000
get_msurf_descriptors,199613,171800000,3948000000
get_msurf_descriptors_improved,196303,148000000,3504800000
get_msurf_descriptors_improved_flip,193260,148000000,3372200000
get_msurf_descriptors_improved_flip_flip,196128,148000000,3477000000
get_msurf_descriptors_inlined,138750,141800000,3314000000
get_msurf_descriptors_inlinedHaarWavelets,85607,127000000,827200000
get_msurf_descriptors_inlinedHaarWavelets_precheck_boundaries,83639,127000000,827000000
get_msurf_descriptors_precompute_gauss_case,59860,74400000,549000000
get_msurf_descriptors_precompute_gauss_array,58724,74400000,614800000
get_msurf_descriptors_pecompute_haar,24608,48000000,269600000
get_msurf_descriptors_rounding,18391,47400000,206200000
get_msurf_descriptors_simd,14442,44400000,228000000
get_msurf_descriptors_rounding_unroll_2_24_True_winner,21472,44200000,234200000
get_msurf_descriptors_simd_2_24,10384,36400000,162000000
get_msurf_descriptors_rounding_unconditional,22921,47000000,225000000
get_msurf_descriptors_rounding_unroll_2_24_True_winner_unconditional,17520,43000000,235000000
get_msurf_descriptors_simd_2_24_unconditional,9826,35000000,99000000